0.000000000000000000e+00 3.000000000000000000e+02 3.000000000000000000e+02
7.812500000000000000e-03 3.073614445882717519e+02 3.073624525983424292e+02
1.562500000000000000e-02 3.147129127199334562e+02 3.147149276131746092e+02
2.343750000000000000e-02 3.220444414587765891e+02 3.220474609829149131e+02
3.125000000000000000e-02 3.293460948910723687e+02 3.293501156715138336e+02
3.906250000000000000e-02 3.366079775910282024e+02 3.366129951354315040e+02
4.687500000000000000e-02 3.438202480313739784e+02 3.438262567357386388e+02
5.468750000000000000e-02 3.509731319209029152e+02 3.509801250771640184e+02
6.250000000000000000e-02 3.580569354508924675e+02 3.580649052560116274e+02
7.031250000000000000e-02 3.650620584324526021e+02 3.650709959989928848e+02
7.812500000000000000e-02 3.719790073069976302e+02 3.719889026751683332e+02
8.593750000000000000e-02 3.787984080122096202e+02 3.788092501633638562e+02
9.375000000000000000e-02 3.855110186860564454e+02 3.855227955576239083e+02
1.015625000000000000e-01 3.921077421916480148e+02 3.921204406934828626e+02
1.093750000000000000e-01 3.985796384459567889e+02 3.985932444780776791e+02
1.171875000000000000e-01 4.049179365356937979e+02 4.049324350073924847e+02
1.250000000000000000e-01 4.111140466039204284e+02 4.111294214542135705e+02
1.328125000000000000e-01 4.171595714912878066e+02 4.171758057106830506e+02
1.406250000000000000e-01 4.230463181161253488e+02 4.230633937696734392e+02
1.484375000000000000e-01 4.287663085779582843e+02 4.287842068295586841e+02
1.562500000000000000e-01 4.343117909694036598e+02 4.343304921073322475e+02
1.640625000000000000e-01 4.396752498817945707e+02 4.396947333454173190e+02
1.718750000000000000e-01 4.448494165902933446e+02 4.448696609979310779e+02
1.796875000000000000e-01 4.498272789046918660e+02 4.498482620825972162e+02
1.875000000000000000e-01 4.546020906725474333e+02 4.546237896849555113e+02
1.953125000000000000e-01 4.591673809217767257e+02 4.591897721019885239e+02
2.031250000000000000e-01 4.635169626303167547e+02 4.635400216127727617e+02
2.109375000000000000e-01 4.676449411109675793e+02 4.676686428642692022e+02
2.187500000000000000e-01 4.715457220000544112e+02 4.715700408608869338e+02
2.265625000000000000e-01 4.752140188390812909e+02 4.752389285469939750e+02
2.343750000000000000e-01 4.786448602391030818e+02 4.786703339720980352e+02
2.421875000000000000e-01 4.818335966181044796e+02 4.818596070289868862e+02
2.500000000000000000e-01 4.847759065022573850e+02 4.848024257556971293e+02
2.578125000000000000e-01 4.874678023825150035e+02 4.874948021927702939e+02
2.656250000000000000e-01 4.899056361186073332e+02 4.899330877878581987e+02
2.734375000000000000e-01 4.920861038831131964e+02 4.921139783403539241e+02
2.812500000000000000e-01 4.940062506389087957e+02 4.940345184793460476e+02
2.890625000000000000e-01 4.956634741439255549e+02 4.956921056688283898e+02
2.968750000000000000e-01 4.970555284777882434e+02 4.970844937347371228e+02
3.046875000000000000e-01 4.981805270855560366e+02 4.982097959090351083e+02
3.125000000000000000e-01 4.990369453344393378e+02 4.990664873867181086e+02
3.203125000000000000e-01 4.996236225800298598e+02 4.996534073922774155e+02
3.281250000000000000e-01 4.999397637392408456e+02 4.999697607528188428e+02
3.359375000000000000e-01 4.999849403678289264e+02 5.000151189757052066e+02
3.437500000000000000e-01 4.997590912410344686e+02 4.997894208292629514e+02
3.515625000000000000e-01 4.992625224365556278e+02 4.992929724257652992e+02
3.593750000000000000e-01 4.984959069197419694e+02 4.985264468065792016e+02
3.671875000000000000e-01 4.974602836315716559e+02 4.974908830300391855e+02
3.750000000000000000e-01 4.961570560806461003e+02 4.961876847632833574e+02
3.828125000000000000e-01 4.945879904411120265e+02 4.946186183799603100e+02
3.906250000000000000e-01 4.927552131590879299e+02 4.927858105663853507e+02
3.984375000000000000e-01 4.906612080708387680e+02 4.906917454393896492e+02
4.062500000000000000e-01 4.883088130366041923e+02 4.883392611797682434e+02
4.140625000000000000e-01 4.857012160946430868e+02 4.857315461858901813e+02
4.218750000000000000e-01 4.828419511407061009e+02 4.828721347526828254e+02
4.296875000000000000e-01 4.797348931387907669e+02 4.797649022818462186e+02
4.375000000000000000e-01 4.763842528696710019e+02 4.764140600297894252e+02
4.453125000000000000e-01 4.727945712243173375e+02 4.728241494004060428e+02
4.531250000000000000e-01 4.689707130499414234e+02 4.690000357904235102e+02
4.609375000000000000e-01 4.649178605570050422e+02 4.649469019956675879e+02
4.687500000000000000e-01 4.606415062961290232e+02 4.606702411871777940e+02
4.765625000000000000e-01 4.561474457144189500e+02 4.561758494666925117e+02
4.843750000000000000e-01 4.514417693012969721e+02 4.514698180115933610e+02
4.921875000000000000e-01 4.465308543344825694e+02 4.465585248199539592e+02
5.000000000000000000e-01 4.414213562373095101e+02 4.414486260668801378e+02
5.078125000000000000e-01 4.361201995590906790e+02 4.361470470838563642e+02
5.156250000000000000e-01 4.306345685907552934e+02 4.306609729733230552e+02
5.234375000000000000e-01 4.249718976284772793e+02 4.249978388712044080e+02
5.312500000000000000e-01 4.191398608984866883e+02 4.191653198705827208e+02
5.390625000000000000e-01 4.131463621567227165e+02 4.131713206201759476e+02
5.468750000000000000e-01 4.069995239774194147e+02 4.070239646117140069e+02
5.546875000000000000e-01 4.007076767451435444e+02 4.007315831707323923e+02
5.625000000000000000e-01 3.942793473651995555e+02 3.943027041657030622e+02
5.703125000000000000e-01 3.877232477077055250e+02 3.877460404508040597e+02
5.781250000000000000e-01 3.810482628009979749e+02 3.810704780579912381e+02
5.859375000000000000e-01 3.742634387903675588e+02 3.742850641543736288e+02
5.937500000000000000e-01 3.673779706784440577e+02 3.673989947812138439e+02
